stop_id,stop_name,stop_lat,stop_lon
509035,"Av. Águia De Haia, 1255",-23.534977,-46.473961
509036,"R. Des. Rocha Portela, 62",-23.537400,-46.497012
509037,"R. Des. Rocha Portela, 386",-23.538378,-46.493889
509038,"R. Henrique Jacobs, 374",-23.538931,-46.491888
509039,"R. Henrique Jacobs, 802",-23.542449,-46.493517
509043,"Av. Calim Eid, 3200",-23.530948,-46.488246
509044,"Av. Calim Eid, 3672",-23.536979,-46.484910
509045,"Av. José Pinheiro Borges, 3",-23.541604,-46.481335
509046,"R. Igaroi, 42",-23.531284,-46.487100
509050,"R. Pontal, 209",-23.541476,-46.495076
509051,"R. Maciel Monteiro, 152",-23.537112,-46.490445
509053,"Av. Prof. Edgar Santos, 363",-23.548301,-46.498301
509058,"R. Dr. Campos Moura, 311",-23.541972,-46.483879
509059,"R. Dr. Campos Moura, 341",-23.542110,-46.483763
509060,"Av. Prof. Edgar Santos, 27",-23.547350,-46.501417
509061,"Av. Prof. Edgar Santos, 148",-23.547856,-46.500324
509062,"Av. Prof. Edgar Santos, 703",-23.550365,-46.495562
509063,"Av. Prof. Edgar Santos, 550",-23.549726,-46.496931
509064,"Av. Prof. Edgar Santos, 906",-23.551575,-46.494245
509066,"R. Dejanira, 118",-23.549488,-46.492069
509067,"R. Gabriel Angler, 75",-23.549121,-46.490314
509068,"Av. Eng. João Baptista Aranha, 226",-23.549747,-46.492881
509069,"R. Susana Dacre, 74",-23.547936,-46.490684
509070,"R. Susana Dacre, 66",-23.547844,-46.491531
509071,"R. Franca Alencar, 12",-23.547656,-46.491824
509072,"R. Gabriel Angler, 75",-23.549055,-46.490238
509073,"R. Des. Carneiro Ribeiro, 875",-23.546298,-46.490941
509074,"Av. Antônio Estevão De Carvalho, 2711",-23.534126,-46.499783
509075,"R. Adriano Rainaldi, 29",-23.548214,-46.490541
509076,"R. Vidal Prader, 94",-23.548736,-46.490719
509077,"Av. Hermilo Alves, 1105",-23.532619,-46.488078
509078,"R. Dr. Campos Moura, 158",-23.540620,-46.485072
509079,"R. Peixoto Werneck, 77",-23.540140,-46.486175
509080,"R. Pe. Tomás De Vilanova, 644",-23.544109,-46.485825
509081,"R. Pe. Tomás De Vilanova, 535",-23.544416,-46.485474
509082,"R. Pierre Jannsen, 171",-23.529759,-46.476153
509083,"Av. Frederick Hoffman, 126",-23.530103,-46.476875
600487,"R. Min. Godoy, 376",-23.532764,-46.669171
600539,"R. Traipu, 19",-23.532470,-46.662127
610774,"R. Margarida, 415",-23.529214,-46.662180
610820,"Av. Antártica, 213",-23.522674,-46.668754
610821,"Av. Lateral Do Viad. Antártica, 62",-23.522290,-46.668963
610833,"Av. Antártica, 575",-23.528897,-46.676054
610869,"Av. Nicolas Bôer, 510",-23.516262,-46.678889
614432,Baby Bariony C/B,-23.527602,-46.671510
614455,Pedro Corazza C/B,-23.515114,-46.689824
614508,"Av. Pres. Castelo Branco, 1000",-23.526423,-46.599844
614533,"R. Robert Bosch, 450",-23.522117,-46.671566
614534,"R. Robert Bosch, 469",-23.521946,-46.671596
614535,Av. Antártica,-23.522506,-46.668948
614537,R. Prof. Wilfrides Alves De Lima,-23.527350,-46.666781
614539,Av. Nicolas Bôer,-23.519816,-46.679389
614542,Terminal Barra Funda Lado Norte Plat. A,-23.525149,-46.666532
614543,Terminal Barra Funda Lado Norte Plat. A,-23.525157,-46.666352
614544,Terminal Barra Funda Lado Norte Plat. A,-23.525172,-46.666195
614546,Terminal Barra Funda Lado Norte Plat. A,-23.525176,-46.666035
614547,"Av. Antártica, 608",-23.528699,-46.676109
614548,Comendador Martinelli - C/B,-23.512093,-46.690308
614549,Comendador Martinelli - B/C,-23.512779,-46.690588
614550,Pedro Corazza - Plataforma 5,-23.514265,-46.690676
614552,"Av. Nicolas Bôer, 510",-23.516248,-46.679261
614560,Parada Extra C/B,-23.506457,-46.688993
614563,Av. Auro Soares De Moura Andrade,-23.526610,-46.666127
614564,Av. Auro Soares De Moura Andrade,-23.526625,-46.665785
